Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
8,9,539,3,1,4,1,6,0
5,10,498,0,0,3,0,4,0
10,11,512,3,0,4,1,5,0
5,10,455,3,0,3,1,5,0
12,10,469,4,0,4,1,7,0
12,10,428,2,0,4,2,7,0
21,12,448,2,1,6,3,6,0
9,11,399,1,1,5,3,3,0
13,12,427,2,2,6,6,7,0
5,11,416,5,0,5,8,4,0
8,17,447,8,0,5,8,5,0
1,17,467,5,0,2,0,0,0
0,15,415,2,0,0,0,0,0
0,17,542,2,0,0,0,0,0
0,1,522,1,0,0,0,0,0
0,0,581,3,0,0,0,0,0
0,0,597,4,0,0,0,0,0
0,0,610,3,0,0,0,0,0
0,0,617,0,0,0,0,0,0
0,0,622,0,0,0,0,0,0
0,0,628,0,0,0,0,0,0
0,0,642,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,570,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,607,1,0,0,0,0,0
0,0,626,1,0,0,0,0,0
0,0,596,2,0,0,0,0,0
0,0,615,5,0,0,0,0,0
0,0,609,2,1,0,0,0,0
0,0,613,3,0,0,0,0,0
0,0,599,0,0,0,0,0,0
3,0,604,0,0,1,1,0,0
3,3,575,0,0,1,0,0,0
12,5,585,0,0,2,0,0,0
7,5,568,0,0,3,0,0,0
7,5,576,1,0,3,0,0,0
3,6,566,0,0,3,0,0,0
6,8,577,0,0,5,1,0,0
3,8,558,0,0,5,2,1,0
7,9,563,1,0,5,2,2,0
6,9,534,1,1,3,1,2,0
12,9,545,1,2,4,1,2,0
6,8,508,2,0,3,1,1,0
16,9,522,3,0,4,1,1,0
8,9,475,1,0,3,0,2,0
11,12,497,2,0,6,0,3,0
9,15,440,2,0,4,1,3,0
18,18,472,3,3,4,2,5,0
8,18,421,2,1,3,2,8,0
10,20,443,3,1,7,3,9,0
4,20,419,1,0,5,4,3,0
2,18,295,3,0,1,0,1,0
0,19,482,4,0,1,0,0,0
0,16,501,0,0,1,0,0,0
0,17,541,1,0,0,0,0,0
0,2,551,2,0,0,0,0,0
0,0,589,2,0,0,0,0,0
0,0,605,1,0,0,0,0,0
